Class

Name	NumAttr	NumOps	NumPubOps	Setters	Getters	Nesting	IFImpl	NOC	NumDesc	NumAnc	DIT	CLD	OpsInh	AttrInh	Dep_Out	Dep_In	NumAssEl_ssc	NumAssEl_sb	NumAssEl_nsb	EC_Attr	IC_Attr	EC_Par	IC_Par	Connectors	InstSpec	LLInst	MsgSent	MsgRecv	MsgSelf	Diags
unitunes_class_gb.db.CarteirasCRUD	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	1	0	0	0	0.0	0.0	0	0
unitunes_class_gb.db.DatabaseConnection	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	1	0	0	0	0.0	0.0	0	0
unitunes_class_gb.db.idGenerator	0	5	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.NotificadorExclusaoMidia	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0.0	0.0	0	0
unitunes_class_gb.CriadorMidia	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	2	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.ValidadorValorMidia	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.CriadorAlbum	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	2	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.ValidadorAlbum	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.GerenciadorCadastroAdmin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.model.Cadastro	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.model	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.view.UniTunes	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	8	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.controller.DashboardVendas	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	5	0	0	0	0.0	0.0	0	0
unitunes_class_gb.controller.GerenciadorAlbuns	1	5	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	6	0	0	0	0.0	0.0	0	0
unitunes_class_gb.controller.GerenciadorCadastros	1	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	11	0	0	0	0.0	0.0	0	0
unitunes_class_gb.controller.GerenciadorCarteiras	1	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.controller.GerenciadorFavoritos	1	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0.0	0.0	0	0
